index,phase,group,label,wgx,wgy,wgz,workgroups,median_ms
242,backward,pw_bwd,"pw_bwd 192->64 @64x64",128,2,3,768,0.3277
243,backward,spatial_bwd,"spatial_bwd k7s1 64<-64 g64 @64x64 +=",64,64,3,12288,0.9175
244,backward,spatial_bwd,"spatial_bwd k3s1 64<-64 g64 @64x64",64,64,3,12288,0.3277
245,backward,residual_bwd,"residual_bwd n262144",1024,1,3,3072,0.0000
246,backward,pw_bwd,"pw_bwd 64->192 @64x64",128,6,3,2304,0.3277
247,backward,gelu_bwd,"gelu_bwd n786432",3072,1,3,9216,0.2621
248,backward,pw_bwd,"pw_bwd 192->64 @64x64",128,2,3,768,0.3277
249,backward,spatial_bwd,"spatial_bwd k7s1 64<-64 g64 @64x64 +=",64,64,3,12288,1.0486
250,backward,spatial_bwd,"spatial_bwd k3s1 64<-64 g64 @64x64",64,64,3,12288,0.1966
251,backward,gelu_bwd,"gelu_bwd n262144",1024,1,3,3072,0.1311
252,backward,pw_bwd,"pw_bwd 64->64 @64x64",128,2,3,768,0.1311
253,backward,gelu_bwd,"gelu_bwd n262144",1024,1,3,3072,0.1311
254,backward,spatial_bwd,"spatial_bwd k3s2 64<-64 g64 @128x128",256,64,3,49152,0.4588
255,backward,gelu_bwd,"gelu_bwd n1048576",4096,1,3,12288,0.4588
256,backward,spatial_bwd,"spatial_bwd_stem4 k3s2 3<-64 g1 @256x256",256,3,3,2304,0.8520
