index,phase,group,label,wgx,wgy,wgz,workgroups,median_ms
117,backward,attn_core_bwd,"attn_core_bwd h16 n64",16,1,3,48,2.2282
118,backward,pw_bwd,"pw_bwd 1536->512 @8x8 +=",2,16,3,96,1.0486
119,backward,residual_bwd,"residual_bwd n32768",128,1,3,384,0.0655
120,backward,pw_bwd,"pw_bwd 512->1536 @8x8",2,48,3,288,1.0486
121,backward,gelu_bwd,"gelu_bwd n98304",384,1,3,1152,0.1311
122,backward,pw_bwd,"pw_bwd 1536->512 @8x8",2,16,3,96,0.5243
123,backward,spatial_bwd,"spatial_bwd k7s1 512<-512 g512 @8x8 +=",1,512,3,1536,0.1966
124,backward,residual_bwd,"residual_bwd n32768",128,1,3,384,0.0000
125,backward,pw_bwd,"pw_bwd 512->512 @8x8",2,16,3,96,0.3277
126,backward,attn_core_bwd,"attn_core_bwd h16 n64",16,1,3,48,1.4418
127,backward,pw_bwd,"pw_bwd 1536->512 @8x8 +=",2,16,3,96,0.9175
128,backward,spatial_bwd,"spatial_bwd k7s1 512<-512 g512 @8x8",1,512,3,1536,0.1966
129,backward,gelu_bwd,"gelu_bwd n32768",128,1,3,384,0.0655
130,backward,pw_bwd,"pw_bwd 512->512 @8x8",2,16,3,96,0.3932
131,backward,gelu_bwd,"gelu_bwd n32768",128,1,3,384,0.0000
132,backward,se_bwd,"se_bwd c512 mid128 @8x8",1,1,3,3,0.3932
133,backward,spatial_bwd,"spatial_bwd k7s2 256<-512 g256 @16x16",4,256,3,3072,0.6554
134,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0655
135,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.4588
136,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.3277
137,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.5243
138,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.5898
139,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
140,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0655
141,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.8520
142,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.1311
143,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.5243
144,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.5898
145,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.0655
146,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0655
147,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.5243
148,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.1311
149,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.8520
150,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.3277
151,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.1311
152,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0655
153,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,0.4588
154,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.3277
155,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.5243
156,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.5898
157,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.1311
158,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.0000
159,backward,pw_bwd,"pw_bwd 256->768 @16x16",8,24,3,576,1.3763
160,backward,gelu_bwd,"gelu_bwd n196608",768,1,3,2304,0.1311
161,backward,pw_bwd,"pw_bwd 768->256 @16x16",8,8,3,192,0.9830
162,backward,spatial_bwd,"spatial_bwd k7s1 256<-256 g256 @16x16 +=",4,256,3,3072,0.3277
163,backward,spatial_bwd,"spatial_bwd k3s1 256<-256 g256 @16x16",4,256,3,3072,0.1311
164,backward,residual_bwd,"residual_bwd n65536",256,1,3,768,0.1311
